mes_num,mes_nombre,ingrediente,categoria,subcategoria,descripcion_culinaria,zona,disponibilidad,lat,lon,partidos,tipo_clima,descripcion_zona,notas_produccion
11,Noviembre,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Pico en enero-febrero. Mejor para conservas en verano.
12,Diciembre,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Pico en enero-febrero. Mejor para conservas en verano.
1,Enero,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Pico en enero-febrero. Mejor para conservas en verano.
2,Febrero,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Pico en enero-febrero. Mejor para conservas en verano.
3,Marzo,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Pico en enero-febrero. Mejor para conservas en verano.
11,Noviembre,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo cubierta permite extender la temporada.
12,Diciembre,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo cubierta permite extender la temporada.
1,Enero,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo cubierta permite extender la temporada.
2,Febrero,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo cubierta permite extender la temporada.
3,Marzo,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo cubierta permite extender la temporada.
12,Diciembre,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,Delta del Tigre,inicio,-34.18,-58.58,"Tigre, San Fernando, Escobar, Campana",Húmedo templado,Zona de islas y humedales. Producción de verduras de hoja y frutilla en pequeñas parcelas familiares. Muy vinculada a la cocina de campo y al turismo gastronómico.,Producción menor. Más orientada a consumo local.
1,Enero,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,Delta del Tigre,inicio,-34.18,-58.58,"Tigre, San Fernando, Escobar, Campana",Húmedo templado,Zona de islas y humedales. Producción de verduras de hoja y frutilla en pequeñas parcelas familiares. Muy vinculada a la cocina de campo y al turismo gastronómico.,Producción menor. Más orientada a consumo local.
